범죄별(1),범죄별(2),범죄별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
범죄별(1),범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
범죄별(1),범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
형법범,강력범죄(폭력),협박,300,200,-,-,,,,-,-,350,-,,,100,,,,25,-33.3,-,,-,0,-,-,-,44.4,,100,-,150,100,-33.3,0,6.7,50,-,-,-,-,,,-,0,0,-50,,40,50,-,-,-18.8,66.7,,-,,,-,-,-,-38.5,-,0,-,-14.3,-66.7,-,-,46.2,-,-,-,-,-,-,-,-,137.5,-,200,,-16.7,0,,,152.6,,,-,,,-,-,,131.6,,133.3,40,160,700,0,50
형법범,강력범죄(폭력),공갈,40.1,25,42.9,60,55.6,-20,200,200,100,49.5,15.4,0,31.3,56.8,77.8,300,100,98.6,120,170,118.8,142.9,125,83.3,-33.3,0,87.6,66.7,300,95.2,69.6,81.3,87.5,-16.7,61.6,47.3,74.1,28.6,20.6,55.6,18.2,400,50,70.2,144,45,90.2,53,79.3,46.7,160,-7.2,0.4,-36.2,55.6,-4.9,-17.9,92.3,0,-66.7,-11.2,-29.5,60.3,-16.7,-20.1,-23.1,-9.1,-46.2,7.5,1.6,73.3,-22.9,-25.6,24.6,-36,-20,200,10.9,88.4,-8.6,6.2,-2.8,37.5,-5,14.3,96.6,93.5,69.2,105.6,127.6,88.4,93.8,125,33.3,98.2,60.5,94.1,87,115.1,43.6,131.6,625
형법범,강력범죄(폭력),약취와유인,,-,-,-,-,-,-,-,-,,-,-,,,-,-,-,200,,-,,-,,,-,-,50,-,-,-,0,,-,,100,0,-,-,,-,0,-,,200,,-,-,400,0,,-,-41.7,-33.3,-,-,-,,-,-,-,-44.4,-,,-,-80,0,0,-,14.3,-,-,-,-,-,-,-,-,60,-,-50,,100,200,-,-,-25,,,-,,,-,-,-,-62.5,-,0,-,0,-,-,-
형법범,강력범죄(폭력),체포와감금,-75,-,-,-,-,-,-,-,-,-75,-,-,-,-66.7,-,0,-,300,,-,-,-,,,-,-,150,-,-,,0,,0,-,-62.5,-,-,-,-,-,-,-,-,-40,-,,0,-,-50,-,-,466.7,,-,-,-,,,-,-,333.3,-,100,-,,100,-,-,-58.8,-75,-,-,,-,-,-,-,-53.8,-,-,,-77.8,0,,-,142.9,500,,-,-,,,-,-,83.3,,,0,50,0,0,
형법범,강력범죄(폭력),폭력행위등(단체등의구성·활동),760,1300,,,,1600,,100,-,400,,,-,,200,,0,-60.5,-82.1,200,-,-,-94.1,-,-50,-,-20,0,0,,-,0,400,0,-88.2,-80,-,-,-,0,-,-,-,-91.7,-,-,-,,-,-,-,800,1000,,,,0,-,-,-,600,,,,0,-,-,-,577.8,236.4,400,28.6,50,1500,,,-,1114.3,1200,150,600,2600,,,,15.6,29.7,-20,-55.6,133.3,37.5,200,100,,9.4,-61.5,70,42.9,14.8,-20,83.3,0
형법범,강력범죄(폭력),폭력행위등처벌에관한법률위반,29.3,20.9,63.4,49.2,52.3,19.9,-14.1,-5.5,2.5,35.7,100.8,33.6,50.5,40.2,22,30.6,-2.2,45.3,38.3,70.6,35.8,32.1,43,47.1,-5.8,4.9,49.9,34.2,72.1,56.5,58.5,58.6,21.1,11.3,-0.8,-2.4,28.6,5.4,2.9,-8,-16.9,-2.1,-60,0.2,24.1,15.6,-1.6,-1.8,-0.9,-6,-36,-27.5,-26.1,-53.5,4.9,-15.2,-33.2,-15.5,-33.1,-23.5,-28.4,-26.9,-7.9,0.6,-39.8,-31.7,-46.7,-22.8,-5.6,-11.4,34.1,-11.4,-20.5,-16.5,-29.7,6.3,-30.8,-2,5.3,-4.6,-10.2,-6.7,7.5,22.3,-12.3,59,62,62.9,45.9,76.3,74.6,41.6,38.6,155.6,57.3,69.7,37.5,43.4,58.7,46.7,59.6,200.9
형법범,위조범죄,소계,30.5,-17.4,33.3,,0,-46.2,100,-,-,39.8,-25,42.9,116.7,45.8,27.6,-20,240,101.1,142.1,25,300,900,200,0,-,-,96.4,233.3,170,53.8,75.7,67.6,275,58.8,34.6,13,-40,0,-20,47.6,-50,,-,37.7,15,48.1,95,27.6,69.4,20,3.7,2.8,57.7,233.3,125,112.5,-16.1,300,100,,-3.6,8.7,0,17.9,-12.1,-12.4,20.4,-14.3,-12.9,-47.6,-40,-33.3,-88.2,-50,-50,16.7,50,-6.3,16,7.5,-4.3,0,-1.1,-36.9,-29.2,93,179.1,300,216.7,1000,169.2,50,0,33.3,83.9,141.4,97.7,86.4,62.3,35.2,95.1,352.9
형법범,위조범죄,통화,,-,-,-,-,-,-,-,-,,,-,-,,,-,,-27.3,-,-,-,-,-,-,-,-,-27.3,-,-,,100,-87.5,,-,-37.5,-,-,-,-,-,-,-,-,-37.5,-,-,-,50,100,-,-,60,,-,-,-,,-,-,-,40,,-,,-66.7,-50,-,,62.5,0,-,-,-,0,-,-,-,71.4,-,,0,700,-,-,-,-23.1,0,-,-,-,0,-,-,-,-25,,-,-50,-75,,,
형법범,위조범죄,유가증권·인지·우표,,-,-,-,-,-,-,-,-,,-,-,-,,-,-,,0,,-,-,,-,-,-,-,-25,-,-,-,200,-,-,-,-50,-,-,-,-,-,-,-,-,-33.3,-,-,-,-66.7,-,,-,100,-,-,-,-,-,-,-,-,100,,-,,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,위조범죄,문서,19.3,-17.4,33.3,,0,-46.2,100,-,-,26.5,-37.5,42.9,116.7,42.6,0,-26.7,160,111.4,126.3,25,300,800,185.7,-16.7,-,-,109.5,300,170,30.8,73.1,110.3,281.8,107.7,38.2,20.9,-40,0,-11.1,55,-40,,-,40.6,10,48.1,129.4,30.2,68.9,26.2,3.7,0,46.2,166.7,125,112.5,-29,300,100,,-5.5,0,-5,5.1,-11.3,-12.6,20.8,-17.9,-13.1,-48.7,-25,-33.3,-88.2,-45.5,-50,16.7,-,-6.6,22.7,5.3,0,-4.5,1.1,-35.9,-26.1,98.3,200,300,216.7,1000,175,50,-14.3,,88.1,151.9,112.5,95.1,69.5,33,87.8,347.1
