범죄별(1),범죄별(2),범죄별(3),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
범죄별(1),범죄별(2),범죄별(3),합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류
범죄별(1),범죄별(2),범죄별(3),소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계
형법범,강력범죄(폭력),상해,-19.6,-4.6,-36.4,-1.5,-3.9,-25.9,40,,-18.5,-21.1,-9.3,23.1,-5.5,-5.6,-60,,114.2,121.4,457.1,237.5,76.7,137.7,100,,88.3,82.1,225.7,-9.4,7.7,1064.7,200,,-17.9,-7.6,35.9,17.6,-26.1,-13.6,7.1,,-25.1,-24.1,-30.7,-58.6,-12.5,5.1,-66.7,,8.6,-0.2,-22.6,-7.1,10.1,13.8,-6.7,,,1.5,3.3,-11.7,33.3,8.2,63.9,-50,,4,9.6,-17.1,12.7,10.8,12.3,14.3,,10.8,9.2,17,25,17.9,-94.1,100,-17.9,-7.2,-17.6,5.3,-15.8,-16,-37.5,,,-22.3,-26.1,-12.9,35,0,-25,,,-9,-9,46.4,-3.9,-19,-10.1,20,,,-9,-11.3,0.4,-63,6.4,113.3,,
형법범,강력범죄(폭력),협박,-27.8,0,,100,-16.7,-17.9,,,-34.1,3.7,-45.8,,-43.6,,,,81.1,0,,0,-40,131.3,,,60,82.1,138.5,,20.5,200,,,12.6,314.3,100,850,100,9.5,100,,-0.7,13.7,-16.1,,-3.8,-33.3,,,22.4,0,0,-52.6,166.7,8.6,-12.5,,,30.4,10.3,73.1,,31.4,183.3,,,43.2,-13.8,-50,44.4,-37.5,56.8,71.4,,56.8,6.3,140,,46.3,-88.2,,-0.2,60,150,61.5,40,-2.2,8.3,,,-4.7,-8.8,-18.5,,15.3,0,,,26.7,15,-80,23.8,35.7,44.4,46.2,,,17.9,24.2,9.1,,21.2,50,,
형법범,강력범죄(폭력),공갈,-59.5,-45.9,-84,-41.9,-13.6,-60.4,,,-59.5,-63.4,-41.4,-28.6,-53.6,-63.6,,,42.7,127.1,525,97.2,100,55.3,,,11.3,8.3,25.5,-60,0,216.7,,,-32.5,-13.4,-44,-9.9,0,-32.7,,,-37.2,-43,-19.5,100,-76.9,-50,166.7,,17.6,16.4,85.7,23.4,-21.1,21.5,,,,8.1,5.3,12.1,-25,100,115.8,,,5.5,-7.4,-50,-5.1,23.3,11.1,,,8.9,-1.4,25.8,-33.3,66.7,-82.9,,19.8,28,38.5,36,8.1,20.3,,,,13.2,19,4,0,30,171.4,100,,-4.7,27.5,16.7,37.3,7.5,-5.1,,,,-14.7,-22.2,-2.5,,0,-31.6,0,
형법범,강력범죄(폭력),약취와유인,64.3,175,400,100,,-20,,,50,500,,,,100,,,-78.3,-81.8,-80,,,-75,,,,,,,,0,,,120,100,0,,,200,,,,,,,,,,,-27.3,-50,100,,,,,,,0,,300,,,,,,137.5,300,200,,,,,,-25,,-50,,,,,-52.6,-50,-33.3,,,-87.5,,,,33.3,,100,,,,,,-22.2,0,-75,,,0,,,,-50,,-50,,,,,
형법범,강력범죄(폭력),체포와감금,-31.7,-30,-60,-25,100,-27.3,,,-31.6,-44.4,-30,,,,,,178.6,242.9,350,233.3,150,200,,,92.3,60,142.9,,,,,,-9,-33.3,-22.2,-20,-80,41.7,,,-20,-12.5,-23.5,,,-80,,,36.6,18.8,-28.6,12.5,400,-8.8,,,,125,85.7,123.1,,,100,,,49.5,26.3,100,33.3,-60,83.9,,,35.6,46.2,44.8,,,,,21.4,25,0,16.7,200,10.5,,,,32.8,36.8,16.7,,,,,,1.1,106.7,20,185.7,66.7,-27,,,,-13.6,-30.8,2,,-60,,,
형법범,강력범죄(폭력),폭력행위등(손괴강요주거침입등),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.6,-38.9,-50,-15.4,-52.4,-29.9,,,-28.5,-33.1,-21.2,700,-25,-21.4,,,-7.1,-22.7,0,-72.7,30,0,,,,-14.4,-1.8,-41.5,,,90.9,,,18.8,0,100,33.3,-15.4,36.6,,,22.2,18.6,33.3,,,-76.2,,3.9,-23.5,-50,-25,-18.2,19.6,,,,-1.3,-7.9,43.8,-50,,,,,7,161.5,0,633.3,22.2,13.3,,,,-8.1,-18.2,30.4,,,,,
형법범,강력범죄(폭력),폭력행위등(단체등의구성·활동),-68.6,-40.7,-60,-33.3,-42.9,-83.6,,,-61.9,-67.8,-27.3,,-37.5,,100,,-25,-81.3,,-70,,-14.3,,,-21.7,-20.8,-31.3,,0,,,,-4.9,900,,800,,5.6,0,,-53.7,-84.2,18.2,,20,-80,,,-74,-63.3,,-59.3,,-73.7,,,,-84,-50,,,-83.3,,,,35,0,,-18.2,,20,,,100,33.3,,,,,,55.6,-27.3,,-11.1,,150,,,,112.5,0,150,,,0,0,,23.8,75,,37.5,,73.3,,,,-29.4,25,-50,,100,,,
형법범,강력범죄(폭력),폭력행위등처벌에관한법률위반,-36.8,-15.7,-51.6,-23.2,7.3,-40.9,33.3,,-36,-39.3,-21,-55.7,-12.9,-48.7,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
형법범,위조범죄,소계,-17.4,8.6,-57.1,11.5,18.9,-17.1,,,-18.6,-20.1,0,,-40,-12.8,,,-50,-22.4,66.7,13.8,-52.3,-29.1,,,-58.4,-58.5,-58.3,,0,-20.6,,,6.8,6.8,-20,-3,28.6,19,,,2.9,2.5,3.3,,33.3,-59.3,,,10.1,-4.8,0,18.8,-33.3,8,,,,12.8,10.6,35.5,,25,9.1,0,,-18,10,25,-13.2,55.6,-20.6,,,-17.9,-19.3,-10.7,,40,-75,100,-14.7,-13.6,-20,24.2,-57.1,-10.4,,,,-17,-16.1,-42.7,,185.7,0,,,-12.2,21.1,200,-12.2,75,-9.7,,,,-17.2,-16.8,0,,-65,-33.3,,
형법범,위조범죄,통화,8.3,-50,-80,100,,100,,,12.5,-20,150,,,,,,-46.2,,,,,-66.7,,,11.1,150,,,,,,,92.9,,,,,175,,,-10,-40,,,,,,,18.5,-28.6,-33.3,-25,,81.8,,,,-22.2,0,-66.7,,,,,,-43.8,40,50,33.3,,-80,,,0,-66.7,100,,,,,16.7,-57.1,-66.7,-50,,-25,,,,114.3,,,,400,,,,-9.5,133.3,500,-50,,33.3,,,,-46.7,,,,-66.7,,,
