"범죄별(1)",범죄별(2),범죄별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"범죄별(1)",범죄별(2),범죄별(3),합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계
"형법범",강력범죄(폭력),협박,70.4,200.0,,,,200.0,,,54.2,-11.1,-25.0,0.0,150.0,,,,82.6,300.0,,,300.0,33.3,,,70.3,100.0,333.3,,36.0,,,,-25.0,-83.3,,,-83.3,87.5,,,-31.7,-37.5,-53.8,,-20.6,100.0,,,-9.5,50.0,,,-50.0,-6.7,,,-7.0,-30.0,83.3,,-22.2,,,,14.0,-66.7,,,0.0,28.6,,,12.5,85.7,-18.2,,9.5,,,,170.8,600.0,,,500.0,116.7,,,186.7,107.7,166.7,,239.1,,,
"형법범",강력범죄(폭력),공갈,38.8,55.0,0.0,200.0,50.0,69.3,,,12.8,10.0,11.8,500.0,,220.0,,,86.1,100.0,142.9,155.6,46.7,93.4,,,83.2,82.2,110.5,66.7,,-12.5,,,42.9,-9.7,5.9,-21.7,-9.1,42.5,,,47.8,49.2,57.5,-60.0,,128.6,,,-4.9,-12.5,-22.2,-5.6,-10.0,5.7,,,-14.1,-18.7,23.8,75.0,100.0,-28.1,,,6.1,-14.3,-50.0,52.9,-50.0,3.4,,,9.2,-1.4,32.1,-71.4,2100.0,52.2,,,79.7,159.5,257.1,138.5,144.4,83.0,,,75.1,84.0,75.7,250.0,-36.4,-5.7,100.0,
"형법범",강력범죄(폭력),약취와유인,50.0,-50.0,-50.0,,,300.0,,,0.0,,,,,,,,183.3,100.0,0.0,,,200.0,,,100.0,,,,,,,,70.6,50.0,0.0,100.0,,-8.3,,,600.0,600.0,,,0.0,0.0,,,-44.8,,,,,-54.5,,,-28.6,-57.1,-16.7,,0.0,0.0,,,0.0,,,,,0.0,,,-20.0,33.3,-20.0,,,,,,-12.5,,,,,0.0,,,-50.0,-75.0,-25.0,,,,,
"형법범",강력범죄(폭력),체포와감금,-64.7,,,,,-50.0,,,-66.7,-80.0,0.0,,,,,,166.7,,,,,100.0,,,200.0,300.0,100.0,,,,,,-56.3,-50.0,,-50.0,,-25.0,,,,,,,,,,,428.6,1500.0,,1100.0,,150.0,,,,,,,,,,,-43.2,,,,,-40.0,,,125.0,-33.3,500.0,,,50.0,,,95.2,,,,,22.2,,,111.1,350.0,66.7,,,-66.7,,
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),1020.0,1200.0,550.0,2500.0,,,,,,,,,,0.0,,,-51.8,-48.7,-23.1,-61.5,,0.0,,,-57.1,0.0,-75.0,,,,,,-66.7,,,,,100.0,,,16.7,-50.0,100.0,,,,,,244.4,,,,,0.0,,,300.0,900.0,200.0,,,,,,1245.2,900.0,0.0,,,8750.0,,,689.3,1810.0,55.6,,,,,,-17.5,170.0,400.0,200.0,75.0,-27.7,,,-18.1,-22.0,-21.4,,300.0,-12.5,,
"형법범",강력범죄(폭력),폭력행위등처벌에관한법률위반,24.5,-8.0,-34.6,78.8,-15.8,73.2,40.0,,10.5,12.0,25.7,6.1,-90.0,59.1,233.3,,42.9,61.4,179.4,87.7,44.5,41.1,-42.9,,41.8,38.7,65.2,173.1,37.5,51.4,40.0,,-13.7,-47.2,-5.3,-17.7,-64.1,-4.8,175.0,,-14.9,-14.5,-15.3,-44.4,6.1,-12.1,-14.3,,-27.3,-45.4,-63.9,-40.2,-41.6,-21.6,-72.7,,-29.2,-31.8,-7.2,-38.0,-22.9,-42.5,-33.3,,-9.1,-18.7,-20.0,-12.3,-23.5,0.6,-33.3,,-15.8,-17.5,-25.0,26.5,818.5,24.6,-12.5,,35.0,184.1,265.4,197.1,149.5,26.1,50.0,,34.9,31.6,62.6,41.9,12.5,-5.4,171.4,
"형법범",위조범죄,소계,35.3,47.2,0.0,210.0,10.8,28.7,,,29.5,32.2,11.3,0.0,,41.4,,,101.7,17.9,16.7,0.0,31.7,71.3,,,126.6,112.1,244.1,600.0,,129.3,-85.2,,3.8,-58.7,-71.4,-58.1,-57.4,31.6,,,7.3,16.6,-42.4,-57.1,-40.0,-61.7,-50.0,,10.9,78.9,750.0,61.5,30.4,18.1,,,7.5,7.1,12.0,-66.7,66.7,13.9,,,-21.6,-20.6,-64.7,0.0,-10.0,-1.9,,,-26.2,-25.4,-38.2,,80.0,-48.8,,,59.0,29.6,16.7,23.8,37.0,44.4,,,65.2,65.1,77.8,,-44.4,85.7,,
"형법범",위조범죄,통화,80.0,200.0,,,,325.0,,,-30.0,-30.0,,,,,,,96.3,-66.7,,,,11.8,,,357.1,200.0,,,,,,,-41.5,,,,,-26.3,,,-46.9,-47.6,-25.0,-57.1,,,,,-19.4,,,,,-28.6,,,-41.2,-18.2,,,,,,,36.0,0.0,-75.0,,,110.0,,,-10.0,-44.4,,,100.0,,,,-29.4,150.0,400.0,-33.3,,-71.4,,,-11.1,0.0,0.0,,-50.0,,,
"형법범",위조범죄,유가증권·인지·우표,80.0,0.0,,,,300.0,,,50.0,50.0,,,,0.0,,,-55.6,,,,,-50.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,66.7,,,,,,,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"형법범",위조범죄,문서,34.2,46.0,-40.0,262.5,10.8,16.4,,,31.0,34.0,11.3,0.0,,42.9,,,102.4,23.3,133.3,0.0,31.7,81.5,,,123.5,110.8,233.9,,,132.5,-92.6,,5.3,-57.8,-71.4,-55.2,-57.4,37.1,,,8.5,17.5,-42.1,,-40.0,-62.4,0.0,,10.6,52.6,450.0,30.8,30.4,17.3,,,8.0,7.4,14.9,,-33.3,14.3,,,-21.8,-19.0,-63.6,-5.9,-10.0,-3.6,,,-26.0,-25.0,-39.7,,200.0,-47.5,,,61.6,23.4,-50.0,37.5,25.9,52.4,,,66.1,65.7,78.5,,-33.3,76.2,,
